"data";"valor"
"01/06/2013";"16136"
"01/07/2013";"16623"
"01/08/2013";"19059"
"01/09/2013";"17151"
"01/10/2013";"18498"
"01/11/2013";"14726"
"01/12/2013";"7578"
"01/01/2014";"13776"
"01/02/2014";"15174"
"01/03/2014";"13844"
"01/04/2014";"12314"
"01/05/2014";"12695"
"01/06/2014";"8190"
"01/07/2014";"12322"
"01/08/2014";"11988"
"01/09/2014";"11786"
"01/10/2014";"12394"
"01/11/2014";"11778"
"01/12/2014";"3704"
"01/01/2015";"8291"
"01/02/2015";"7648"
"01/03/2015";"7374"
"01/04/2015";"6864"
"01/05/2015";"6169"
"01/06/2015";"5284"
"01/07/2015";"6599"
"01/08/2015";"5283"
"01/09/2015";"5819"
"01/10/2015";"6799"
"01/11/2015";"5350"
"01/12/2015";"2582"
"01/01/2016";"4158"
"01/02/2016";"5317"
"01/03/2016";"5661"
"01/04/2016";"5197"
"01/05/2016";"5332"
"01/06/2016";"5570"
"01/07/2016";"5091"
"01/08/2016";"5211"
"01/09/2016";"4846"
"01/10/2016";"4635"
"01/11/2016";"5362"
"01/12/2016";"4102"
"01/01/2017";"4482"
"01/02/2017";"5314"
"01/03/2017";"5952"
"01/04/2017";"5900"
"01/05/2017";"7576"
"01/06/2017";"6797"
"01/07/2017";"7093"
"01/08/2017";"8488"
"01/09/2017";"7599"
"01/10/2017";"8241"
"01/11/2017";"8166"
"01/12/2017";"7436"
"01/01/2018";"6707"
"01/02/2018";"7780"
"01/03/2018";"9947"
"01/04/2018";"9095"
"01/05/2018";"7423"
"01/06/2018";"8635"
"01/07/2018";"8855"
"01/08/2018";"9697"
"01/09/2018";"9115"
"01/10/2018";"10858"
"01/11/2018";"10043"
"01/12/2018";"7379"
"01/01/2019";"6811"
"01/02/2019";"9631"
"01/03/2019";"8319"
"01/04/2019";"9412"
"01/05/2019";"11230"
"01/06/2019";"9993"
"01/07/2019";"10918"
"01/08/2019";"10732"
"01/09/2019";"10406"
"01/10/2019";"11286"
"01/11/2019";"8764"
"01/12/2019";"5974"
"01/01/2020";"7169"
"01/02/2020";"9131"
"01/03/2020";"8406"
"01/04/2020";"403"
"01/05/2020";"4054"
